canonical_name,matched_name,country_hint,country_code,openalex_id,ror_id,match_status,source_names,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank,in_arwu_2025,in_qs_2027,in_usnews_2026_2027
University of Hamburg,Universität Hamburg,Germany,DE,https://openalex.org/I159176309,https://ror.org/00g30e956,auto,University of Hamburg,,,146,False,False,True
University of Mainz,Johannes Gutenberg University Mainz,Germany,DE,https://openalex.org/I197323543,https://ror.org/023b0x485,auto,University of Mainz,151-200,,,True,False,False
University of Muenster,University of Münster,Germany,DE,https://openalex.org/I22465464,https://ror.org/00pd74e08,auto,University of Muenster,151-200,,,True,False,False
Universität Heidelberg,Heidelberg University,Germany,DE,https://openalex.org/I223822909,https://ror.org/038t36y30,auto,Heidelberg University; Universität Heidelberg,51,86,68,True,True,True
Aarhus University,Aarhus University,Denmark,DK,https://openalex.org/I204337017,https://ror.org/01aj84f44,auto,Aarhus University,85,128,117,True,True,True
Technical University of Denmark,Technical University of Denmark,Denmark,DK,https://openalex.org/I96673099,https://ror.org/04qtj9h94,auto,Technical University of Denmark,151-200,105,189,True,True,True
University of Copenhagen,University of Copenhagen,Denmark,DK,https://openalex.org/I124055696,https://ror.org/035b05819,auto,University of Copenhagen,35,90,45,True,True,True
Autonomous University of Barcelona,Universitat Autònoma de Barcelona,Spain,ES,https://openalex.org/I123044942,https://ror.org/052g8jq94,manual,Autonomous University of Barcelona,,,131,False,False,True
Complutense University of Madrid,Universidad Complutense de Madrid,Spain,ES,https://openalex.org/I121748325,https://ror.org/02p0gd045,auto,Complutense University of Madrid,,199,,False,True,False
Universitat de Barcelona,Universitat de Barcelona,Spain,ES,https://openalex.org/I71999127,https://ror.org/021018s57,auto,Universitat de Barcelona; University of Barcelona,151-200,165,88,True,True,True
Aalto University,Aalto University,Finland,FI,https://openalex.org/I9927081,https://ror.org/020hwjq30,auto,Aalto University,,126,,False,True,False
University of Helsinki,University of Helsinki,Finland,FI,https://openalex.org/I133731052,https://ror.org/040af2s02,auto,University of Helsinki,94,123,109,True,True,True
Aix Marseille University,Aix-Marseille Université,France,FR,https://openalex.org/I21491767,https://ror.org/035xkbk20,auto,Aix Marseille University,151-200,,,True,False,False
Institut Polytechnique de Paris,Institut Polytechnique de Paris,France,FR,https://openalex.org/I4210145102,https://ror.org/042tfbd02,auto,Institut Polytechnique de Paris,,43,,False,True,False
PSL Research University Paris (ComUE),Université Paris Sciences et Lettres,France,FR,https://openalex.org/I2746051580,https://ror.org/013cjyk83,auto,PSL Research University Paris (ComUE); PSL University; Université PSL,34,34,108,True,True,True
Paris-Saclay University,Université Paris-Saclay,France,FR,https://openalex.org/I277688954,https://ror.org/03xjwb503,auto,Paris-Saclay University; Universite Paris Saclay; Université Paris-Saclay,13,76,82,True,True,True
Sorbonne University,Sorbonne Université,France,FR,https://openalex.org/I39804081,https://ror.org/02en5vm52,auto,Sorbonne Universite; Sorbonne University,43,73,67,True,True,True
University of Montpellier,Université de Montpellier,France,FR,https://openalex.org/I19894307,https://ror.org/051escj72,auto,University of Montpellier,151-200,,,True,False,False
University of Strasbourg,Université de Strasbourg,France,FR,https://openalex.org/I68947357,https://ror.org/00pg6eq24,auto,University of Strasbourg,101-150,,,True,False,False
Universit茅 Grenoble Alpes,Université Grenoble Alpes,France,FR,https://openalex.org/I899635006,https://ror.org/02rx3b187,manual,Universit茅 Grenoble Alpes,151-200,,,True,False,False
Universit茅 Paris Cit茅,Université Paris Cité,France,FR,https://openalex.org/I204730241,https://ror.org/05f82e368,manual,Université de Paris; Universit茅 Paris Cit茅,60,,61,True,False,True
Cardiff University,Cardiff University,United Kingdom,GB,https://openalex.org/I79510175,https://ror.org/03kk7td41,auto,Cardiff University,,179,,False,True,False
Durham University,Durham University,United Kingdom,GB,https://openalex.org/I190082696,https://ror.org/01v29qb04,auto,Durham University,,85,,False,True,False
Imperial College London,Imperial College London,United Kingdom,GB,https://openalex.org/I47508984,https://ror.org/041kmwe10,auto,Imperial College London,26,2,14,True,True,True
