canonical_name,display_name,matched_name,country_code,openalex_id,ror_id,works_2020_2024,cited_by_proxy,top10_count,top1_count,top10_share,top1_share,h_index,oa_share,international_collab_proxy_share,field_entropy,active_fields,has_medical_school_or_center,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank
Lomonosov Moscow State University,Lomonosov Moscow State University,Lomonosov Moscow State University,RU,https://openalex.org/I19880235,https://ror.org/010pmpe69,60648,408409,408409,719,6.734088510750561,1.5112180879720547,719,0.5769852262234534,0.3174017274208626,1.313234580401818,6,False,101-150,115,
KFUPM,King Fahd University of Petroleum and Minerals,King Fahd University of Petroleum and Minerals,SA,https://openalex.org/I134085113,https://ror.org/03yez3163,15758,333187,333187,373,21.143990354105853,6.032981056829511,373,0.4272115750729788,0.5372365450844171,1.2792779881298177,6,False,701-800,63,322
King Abdulaziz University (KAU),King Abdulaziz University,King Abdulaziz University,SA,https://openalex.org/I185163786,https://ror.org/02ma4wv74,41602,786093,786093,538,18.89555790586991,3.8632393378983125,538,0.6942454689678381,0.5690832276925907,2.0413129306226265,8,False,501-600,200,122
King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology,SA,https://openalex.org/I71920554,https://ror.org/01q3tbs38,21774,476298,476298,660,21.87462110774318,7.076930693069307,660,0.7107100211261137,0.6989023836911595,1.8737087786229574,9,False,201-300,,103
King Saud University,King Saud University,King Saud University,SA,https://openalex.org/I28022161,https://ror.org/02f81g417,69100,1155520,1155520,470,16.722431259044864,5.060095673378016,470,0.6903039073806078,0.6560240395124793,2.1884594036999285,10,False,101-150,107,139
Chalmers University of Technology,Chalmers University of Technology,Chalmers University of Technology,SE,https://openalex.org/I66862912,https://ror.org/040wg7k59,21852,333293,333293,557,15.252288120080541,3.7832433867114927,557,0.7988742449203734,0.4217849682507758,1.2631792263508073,6,False,301-400,174,348
KTH Royal Institute of Technology,KTH Royal Institute of Technology,KTH Royal Institute of Technology,SE,https://openalex.org/I86987016,https://ror.org/026vcq606,29089,474836,474836,720,16.323558733541887,3.697029388403495,720,0.7674378631097666,0.41478107835689204,1.2485547714422531,4,False,201-300,82,
Karolinska Institute,Karolinska Institutet,Karolinska Institutet,SE,https://openalex.org/I28166907,https://ror.org/056d84691,63853,1243384,1243384,1441,19.472601130722126,3.6724088732945117,1441,0.8663492709817863,0.45076199497339076,1.4506216058007504,6,True,50,,57
Lund University,Lund University,Lund University,SE,https://openalex.org/I187531555,https://ror.org/012a77v79,55686,868424,868424,1068,15.595014905003053,3.2305238390807918,1068,0.8427432388751213,0.460054423832922,1.621056331310435,7,True,101-150,71,124
Stockholm University,Stockholm University,Stockholm University,SE,https://openalex.org/I161593684,https://ror.org/05f0yaq80,33697,584940,584940,949,17.35881532480636,3.99499427055063,949,0.8685342908864291,0.41954260053150383,1.1935107403823149,4,False,100,167,193
University of Gothenburg,University of Gothenburg,University of Gothenburg,SE,https://openalex.org/I881427289,https://ror.org/01tm6cn81,42260,667581,667581,908,15.796994794131567,3.3889389461544006,908,0.8582584003786086,0.45988675821466873,1.5771349040325726,6,True,151-200,225,177
Uppsala University,Uppsala University,Uppsala University,SE,https://openalex.org/I123387679,https://ror.org/048a87296,59567,776120,776120,1036,13.029361895008982,3.1750359352540465,1036,0.8776839525240485,0.4837804310942549,1.7649577804558028,7,False,93,87,146
"Nanyang Technological University, Singapore (NTU Singapore)",Nanyang Technological University,Nanyang Technological University,SG,https://openalex.org/I172675005,https://ror.org/02e7b5302,55627,1354780,1354780,961,24.354719830298237,6.5880829015544045,961,0.5261833282398836,0.6066303045995821,1.5053826509786155,7,False,88,12,27
National University of Singapore,National University of Singapore,National University of Singapore,SG,https://openalex.org/I165932596,https://ror.org/01tgyzw49,81410,1922341,1922341,1079,23.61308193096671,6.295139893375212,1079,0.6048274167792654,0.687076298707741,2.0217537258799494,10,False,56,10,16
National Cheng Kung University (NCKU),National Cheng Kung University,National Cheng Kung University,TW,https://openalex.org/I91807558,https://ror.org/01b8kcc49,21717,298641,298641,461,13.751485011741954,2.918447329857206,461,0.572777087074642,0.35977063895900435,1.161230526973031,4,False,401-500,191,612
National Taiwan University (NTU),National Taiwan University,National Taiwan University,TW,https://openalex.org/I16733864,https://ror.org/05bqach95,40232,556313,556313,715,13.827624776297474,3.012736265677442,715,0.6136905945516007,0.4393738221271676,1.5678884148516983,6,False,201-300,54,233
National Tsing Hua University - NTHU,National Tsing Hua University,National Tsing Hua University,TW,https://openalex.org/I25846049,https://ror.org/00zdnkx70,15707,237848,237848,556,15.14280257210161,5.136752136752137,556,0.5208505761762272,0.4520491907207561,1.0600303093856314,4,False,401-500,142,520
National Yang Ming Chiao Tung University (NYCU Taiwan),National Yang Ming Chiao Tung University,National Yang Ming Chiao Tung University,TW,https://openalex.org/I148366613,https://ror.org/00se2k293,31349,412464,412464,589,13.157166097802163,3.1211032363582296,589,0.6072920986315353,0.3539692425746207,1.074705302231897,4,False,401-500,177,596
Indian Institute of Technology Madras (IITM),"Indian Institute of Technology Madras, Zanzibar","Indian Institute of Technology Madras, Zanzibar",TZ,https://openalex.org/I4405261081,https://ror.org/04rje7438,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,False,701-800,170,626
Arizona State University--Tempe,Arizona State University,Arizona State University,US,https://openalex.org/I55732556,https://ror.org/03efmqc40,50831,677515,677515,962,13.328775747083473,3.4715538185275165,962,0.6406130117448015,0.565126787393444,2.126174592774657,11,False,151-200,172,179
